row_ID,study_ID,title,year,journal,volume,issue,pages,authors,taxo_group,species_name,population,study_environment,age,personality_trait,study_type,male_n,female_n,male_mean,male_SE,female_mean,female_SE,error_type,m_SE_to_SD,f_SE_to_SD,directionality,comp,depend,data_type,data_location,score,proportion,flip_sign,data_quality
56,P010,Aggression and sex differences in lateralization in the zebrafish,2013,Animal Behaviour,86,3,617-622,"Ariyomo, T.O.; Watt, P.J.",fish,Danio rerio,lab,lab,adult,aggression,experimental,20,20,47.827,3.652,58.609,10.609,SE,16.332,47.445,,21,16,no. encounters,Figure,,,,
57,P011,Effect of hunger level and time of day on boldness and aggression in the zebrafish Danio rerio,2015,Journal of Fish Biology,86,6,1852-1859,"Ariyomo, T.O.; Watt, P.J.",fish,Danio rerio,lab,lab,adult,boldness,experimental,80,80,208.14,12.05,151.54,11.23,SE,107.778,100.444,,22,17,lines crossed,in-text,,,,
58,P011,Effect of hunger level and time of day on boldness and aggression in the zebrafish Danio rerio,2015,Journal of Fish Biology,86,6,1852-1859,"Ariyomo, T.O.; Watt, P.J.",fish,Danio rerio,lab,lab,adult,aggression,experimental,80,80,9.51,1.12,6.15,0.94,SE,10.018,8.408,,23,18,no. encounters,in-text,,,,
59,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,12,16,11.083,6.767,3.263,0.855,SE,23.442,3.42,,24,19,swim speed,Supplementary,,,,
60,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,12,16,3.845,1.136,3.687,0.724,SE,3.935,2.896,,24,19,swim speed,Supplementary,,,,
61,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,12,16,4.111,1.113,3.837,0.812,SE,3.856,3.248,,24,19,swim speed,Supplementary,,,,
62,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,12,16,4.705,1.037,4.761,0.831,SE,3.592,3.324,,24,19,swim speed,Supplementary,,,,
63,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,12,16,4.252,0.997,4.851,0.82,SE,3.454,3.28,,24,19,swim speed,Supplementary,,,,
64,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,12,16,139.038,36.523,181.318,32.171,SE,126.519,128.684,1,25,19,time stationary,Supplementary,,,,
65,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,12,16,173.762,37.242,149.679,29.804,SE,129.01,119.216,1,25,19,time stationary,Supplementary,,,,
66,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,12,16,155.643,35.512,151.434,31.764,SE,123.017,127.056,1,25,19,time stationary,Supplementary,,,,
67,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,12,16,135.408,37.516,114.781,29.324,SE,129.959,117.296,1,25,19,time stationary,Supplementary,,,,
68,P013,"Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,Scientific Reports,8,1,,"Baker, M.R.; Goodman, A.C.; Santo, J.B.; Wong, R.Y.",fish,Danio rerio,lab,lab,adult,exploration,experimental,12,16,144.621,36.919,108.155,30.688,SE,127.891,122.752,1,25,19,time stationary,Supplementary,,,,
